#    FY4 Quest大全, Ver = 4.0.1
#
# 格式：
#  杀『搜索名称』【ID】简单说明 @物品文件路径
#  寻『搜索名称』〖中文名称〗【ID】简单说明 @物品文件路径
# 注："搜索名称"不含颜色码，"中文名称"含ANSI颜色码

杀『阿菜哥』【waiter】exp<1K,沉香:3s,e菜根香 @/d/chenxiang/npc/cx_waiter.c
杀『阿草』【a cao】exp=2M, @/d/shanliu/npc/tianzong1.c
寻『打狗棍』〖$HIG$打狗棍$NOR$〗【doggie stick】val=1G, @/d/jinan/npc/obj/zhustaff.c
寻『大白鲤』〖大白鲤〗【fish】val=1S,名字随机,村外鱼塘里 @/d/eren/obj/fish.c
寻『大包子』〖大包子〗【dumpling】val=1S, @/d/cave/npc/obj/dumpling.c
寻『大草帽』〖大草帽〗【hat】val<1S, @/d/taiping/npc/obj/hat2.c
寻『大乘经』〖大乘经〗【jinbook】val=1S, @/d/qianfo/obj/book4.c
寻『大风丸』〖大风丸〗【dafeng】val=20S, @/d/fy/npc/obj/sendrug.c
寻『大锅』〖大锅〗【big wok】val<1S, @/d/shaolin/obj/wok.c|daguo.c
寻『大海碗』〖大海碗〗【haiwan】val<1S, @/d/death/npc/obj/dang.c
寻『大黑石』〖大黑石〗【blackstone】val<1S, @/d/qianfo/obj/bigstone.c
寻『大红布袍』〖大红布袍〗【cloth】val<1S, @关外波斯奴穿(exp=50K)
寻『大红斗篷』〖$HIR$大红斗篷$NOR$〗【red cloak】val=4S, @/d/zangbei/npc/obj/redcloak.c
寻『大红缎裙』〖$HIR$大红缎裙$NOR$〗【red skirt】val=30S,狼山.柳金莲(exp=1M)穿 @/d/wolfmount/npc/obj/redskirt.c
寻『大红吉服』〖$HIR$大红吉服$NOR$〗【wedding dress】val=50S, @/d/loulan/npc/obj/jifu.c
寻『大红尼袍』〖大红尼袍〗【cloth】val<1S, @/d/guanwai/npc/obj/redcloth2.c
寻『大红僧袍』〖大红僧袍〗【cloth】val<1S, @/d/guanwai/npc/obj/redcloth.c
寻『大红巫袍』〖$RED$大红巫袍$NOR$〗【witch clothes】val<1S, @/d/taiping/npc/obj/witchcloth.c
寻『大红洋缎窄袄』〖$RED$大红洋缎窄袄$NOR$〗【ao】val=1S, @/d/taiping/npc/obj/ladycloth2.c
寻『大还丹』〖$HIR$大还丹$NOR$〗【dan】val<1S, @/d/shaolin/npc/obj/bigdan.c
寻『大金刚经』〖大金刚经〗【jinbook】val=1S, @/d/qianfo/obj/book2.c
寻『大锦鲤』〖大锦鲤〗【fish】val=1S,名字随机 @/d/qingping/obj/fish.c
寻『大酒袋』〖大酒袋〗【quskin】val<1S, @/d/fy/npc/obj/nujiu.c
寻『大酒碗』〖大酒碗〗【wine bowl】val<1S, @/d/huashan/npc/obj/wineskin.c
寻『大牢钥匙』〖大牢钥匙〗【key】val<1S, @/d/jinan/npc/obj/key.c
寻『大理石』〖大理石〗【stone】val=30S, @/d/chenxiang/npc/obj/stone4.c
寻『大馒头』〖大馒头〗【mantou】val=90S, @/d/bawang/npc/obj/mantou.c
寻『大米』〖大米〗【1 dami】val<1S, @/d/chenxiang/npc/obj/mi.c
寻『大棉袄』〖大棉袄〗【ao】val<1S, @/d/laowu/npc/obj/bigcloth.c
寻『大刨斧』〖大刨斧〗【axe】val=10S, @/d/taiping/npc/obj/paxe.c
寻『大蒲扇』〖大蒲扇〗【fan】val=10G, @/d/eren/npc/obj/fan.c
寻『大青菜』〖$CYN$大青菜$NOR$〗【big cabbage】val<1S, @/d/fy/npc/obj/bigvege.c
寻『大石锤』〖大石锤〗【stone hammer】val=10S, @/d/wolfmount/npc/obj/stonehammer.c
寻『大树根』〖大树根〗【stump】val<1S, @/d/zangbei/obj/stump.c
寻『大铁锤』〖大铁锤〗【hammer】val=4S, @/d/wudang/npc/obj/hammer.c
寻『大香蕉』〖大香蕉〗【banana】val=1S, @/d/huangshan/obj/banana.c|gbanana.c
寻『大箱子』〖大箱子〗【woodcase】val<1S, @/d/palace/obj/woodcase.c
寻『大毡帽』〖大毡帽〗【hat】val<1S, @/d/taiping/npc/obj/hat.c
寻『大珍珠』〖大珍珠〗【1 big pearl】val<1S, @/d/shenshui/npc/obj/pearl.c
寻『大竹筐』〖大竹筐〗【big basket】val=50S, @/d/cave/obj/bigbasket.c
寻『带荚毛豆』〖带荚毛豆〗【soy beans】val<1S, @/d/taoyuan/obj/soybean.c
寻『带吸盘的触手』〖$WHT$带吸盘的触手$NOR$〗【claw】val<1S, @/d/shenshui/npc/obj/claw.c
寻『带吸盘的大触手』〖$WHT$带吸盘的大触手$NOR$〗【claw】val=5G, @/d/shenshui/npc/obj/claw2.c
寻『带血的紫藤花瓣儿』〖$MAG$带血的紫藤花瓣儿$NOR$〗【1 blood petal】val<1S, @/d/chenxiang/obj/petal.c
寻『带血纱衣』〖带血纱衣〗【shayi】val<1S, @/d/qianjin/obj/nocloth.c
寻『丹心聚碧』〖$HIR$丹心聚碧$NOR$〗【red jade】val=2G, @/d/yinghe/obj/red_jade.c
寻『单刀』〖单刀〗【blade】val=5S, @/d/fy/npc/obj/blade.c
寻『单管望远镜』〖单管望远镜〗【wyj】val=62S, @/d/chenxiang/npc/obj/yjing.c
寻『淡青色的长袍』〖淡青色的长袍〗【cyan robe】val=10S, @/d/zangbei/npc/obj/cyancloth.c
寻『当归』〖当归〗【lycii】val<1S, @/d/chenxiang/npc/obj/lycii.c
寻『党参』〖党参〗【codonopsis】val<1S, @/d/chenxiang/npc/obj/codonopsis.c
寻『刀』〖刀〗【blade】val<1S, @/d/tieflag/obj/cmblade.c
寻『刀拨面』〖刀拨面〗【bo mian】val=20S, @/d/shanxi/npc/obj/bomian.c
寻『刀削面』〖刀削面〗【dao mian】val=20S, @/d/shanxi/npc/obj/daomian.c
寻『道德经』〖道德经〗【daode book】val=2S, @/d/shaolin/obj/daodebook.C
寻『登山鞋』〖登山鞋〗【shoes】val<1S, @/d/huashan/npc/obj/shoe.c
寻『滴血刀』〖$RED$滴血刀$NOR$〗【blade】 @/obj/weapon/blade.c的变体
寻『滴血的红玫瑰』〖$HIR$滴血的红玫瑰$NOR$〗【blood rose】val=1S, @/d/cave/npc/obj/bloodrose.c
寻『地旗道袍』〖地旗道袍〗【taolord robe】val=1G, @/d/taoguan/npc/obj/robe2.c
寻『地图』〖地图〗【paper】val<1S, @/d/taiping/npc/obj/paper.c
寻『钓鱼杆』〖钓鱼杆〗【fish pole】val=1S, @/d/taoyuan/obj/fpole.c
寻『蝶恋花剑法秘笈』〖蝶恋花剑法秘笈〗【diesword】val<1S, @/d/resort/obj/book5.c
寻『蝶钗』〖蝶钗〗【die chai】val=10G, @/d/taoyuan/obj/diechai.c
寻『叠翠鞭』〖$HIG$叠翠鞭$NOR$〗【wood whip】val<1S, @/d/yinghe/obj/wood_whip.c
寻『叠翠锤』〖$HIG$叠翠锤$NOR$〗【wood blade】val<1S, @/d/yinghe/obj/wood_hammer.c
寻『叠翠刀』〖$HIG$叠翠刀$NOR$〗【wood blade】val<1S, @/d/yinghe/obj/wood_blade.c
寻『叠翠斧』〖$HIG$叠翠斧$NOR$〗【wood axe】val<1S, @/d/yinghe/obj/wood_axe.c
寻『叠翠剑』〖$HIG$叠翠剑$NOR$〗【wood sword】val<1S, @/d/yinghe/obj/wood_sword.c
寻『叠翠枪』〖$HIG$叠翠枪$NOR$〗【wood spear】val<1S, @/d/yinghe/obj/wood_spear.c
寻『叠翠匕首』〖$HIG$叠翠匕首$NOR$〗【wood dagger】val<1S, @/d/yinghe/obj/wood_dagger.c
寻『丁喜的纸条』〖丁喜的纸条〗【dingxi note】val<1S, @/d/bawang/npc/obj/dingxi_note.c
寻『钉耙』〖钉耙〗【dingpa】val=8S, @/d/wudang/npc/obj/dingpa.c
寻『东方金铁之英』〖$YEL$东方金铁之英$NOR$〗【golden iron】val<1S, @/d/fy/npc/obj/giron.C
寻『东岳丹』〖$HIG$东岳丹$NOR$〗【pill】val<1S, @/d/daimiao/obj/forcedan.C
寻『东岳神的睡像』〖东岳神的睡像〗【shuixiang】val<1S, @/d/daimiao/npc/obj/xiang.c
寻『冬瓜』〖冬瓜〗【dong gua】val<1S, @/d/taoyuan/obj/donggua.c
寻『董酒』〖董酒〗【dongskin】val=10S, @/d/loulan/obj/dongskin.c
寻『斗篷』〖斗篷〗【cape】val<1S, @/d/eren2/npc/obj/skinmask.c
寻『斗笠』〖斗笠〗【bighat】val=1S, @/d/wolfmount/npc/obj/hat.c
寻『毒龙沙』〖毒龙沙〗【1 sand】val<1S, @/d/palace/npc/obj/anqi.c
寻『毒蒺藜』〖$HIB$毒蒺藜$NOR$〗【du jili】val=5G, @/d/eren/npc/obj/jili.c
寻『杜鹃花』〖杜鹃花〗【azalea】val<1S, @/d/zangbei/obj/flower1.c
寻『短歌刀法秘笈』〖短歌刀法秘笈〗【shortsong-blade】val<1S, @/d/resort/obj/book4.c
寻『短剑』〖短剑〗【short sword】val=3S, @/d/oldpine/npc/obj/short_sword.c
寻『短裤头』〖短裤头〗【shorts】val=20S, @/d/wolfmount/npc/obj/shorts.c
寻『短矛』〖短矛〗【spear】val=8S, @/d/taiping/npc/obj/sspear.c
寻『短匕首』〖短匕首〗【dagger】val=10S, @/d/libie/npc/obj/bishou2.c
寻『断肠草』〖$HIR$断肠草$NOR$〗【duancao】val=20S, @/d/palace/obj/duancao.c
寻『断剑』〖断剑〗【guo sword】val=4S, @/d/shenshui/obj/sword.c
寻『断门剑』〖$HIG$断门剑$NOR$〗【duanmen sword】val=90S, @/d/loulan/npc/obj/sword1.c
寻『断山斧』〖$YEL$断山斧$NOR$〗【thunder axe】val=50G, @/d/cave/npc/obj/duanshan.c
寻『断树枝』〖断树枝〗【shu zhi】val=2S, @/d/shenshui/npc/obj/shuzhi.c
寻『钝剑』〖钝剑〗【sword】val=4S, @/d/chuenyu/npc/obj/sword1.c
寻『多情环』〖$WHT$多情环$NOR$〗【lover ring】val=10S, @/d/tieflag/obj/lovering.c
寻『夺魂针』〖夺魂针〗【1 needle】val<1S, @/d/guanwai/npc/obj/gw_stone.c
寻『鹅黄裙』〖$HIY$鹅黄裙$NOR$〗【cloth】val<1S, @/d/huashan/npc/obj/ycloth.c
寻『鹅黄色长裙』〖$YEL$鹅黄色长裙$NOR$〗【long skirt】val=4G, @/d/jinan/npc/obj/yelskirt.c
寻『二胡琴』〖二胡琴〗【erhu】val=5S, @/d/taoyuan/npc/obj/erhu.c
寻『二龙抢珠金抹额』〖$HIY$二龙抢珠金抹额$NOR$〗【doublepin】val=50G, @/d/fugui/npc/obj/hat3.c
寻『二桶』〖二桶〗【majiangpai tong】val=10S,数字1-3随机 @/d/palace/npc/obj/pai3.c
寻『发黄的羊皮纸』〖发黄的羊皮纸〗【paper】val<1S, @/d/eren2/obj/paper.c
寻『发黄的纸』〖发黄的纸〗【paper】val<1S, @/d/qingping/obj/paper.c
寻『发黄了的纸』〖发黄了的纸〗【yellow paper】val<1S, @/d/qingping/obj/paper1.c
寻『法海藏』〖法海藏〗【buddbook】val=1S, @/d/palace/obj/buddbook.c
寻『法华经』〖法华经〗【buddbook】val=1S, @/d/palace/obj/buddbook.c
寻『法句』〖法句〗【buddbook】val=1S, @/d/palace/obj/buddbook.c
寻『番茄』〖$RED$番茄$NOR$〗【tomato】val<1S, @/d/fy/npc/obj/tomato.c
寻『饭钵』〖饭钵〗【bowl】val<1S, @/d/huangshan/obj/bowl.c
寻『饭钵』〖饭钵〗【bowl】val<1S, @/d/songshan/npc/obj/bowl.c
寻『饭篮』〖饭篮〗【basket】val=1S, @/d/wudang/npc/obj/basket2.c
寻『饭团』〖饭团〗【rice】val<1S, @/d/taiping/obj/ricecake.c
寻『方丈手谕』〖方丈手谕〗【shouyu】val<1S, @/d/shaolin/npc/obj/shouyu.c
寻『飞刀』〖飞刀〗【1 throwing knife】val<1S, @/d/oldpine/npc/obj/throwing_knife.c
寻『飞龙棒』〖飞龙棒〗【staff】val=60G, @/d/guanwai/npc/obj/gw_staff.c
寻『飞云斧』〖飞云斧〗【axe】val=2G, @/d/taoguan/npc/obj/f_axe.c
寻『粉红袄』〖粉红袄〗【pink cloth】val=10S, @/d/fugui/npc/obj/color_cloth.c
寻『粉红布衫』〖粉红布衫〗【pink cloth】val=6S, @/d/chuenyu/npc/obj/pink_cloth.c
寻『粉红绸衫』〖$HIM$粉红绸衫$NOR$〗【pink cloth】val=6S, @/d/fy/npc/obj/pink_cloth.c
寻『粉红绸衫』〖粉红绸衫〗【pink cloth】val=6S, @/d/resort/obj/pink_cloth.c
寻『粉红衫』〖粉红衫〗【pink cloth】val=6S, @/d/resort/npc/obj/pink_cloth.c
寻『枫叶』〖$HIR$枫叶$NOR$〗【maple leaf】val<1S, @/d/fy/obj/mapleleaf.c
寻『风信子』〖$HIB$风信子$NOR$〗【hyacinth】val<1S, @/d/wolfmount/obj/flower5.c
寻『风信子』〖风信子〗【flower】val<1S, @/d/zangbei/obj/flower2.c
寻『风靴』〖风靴〗【feng xue】val=80S, @/d/taishan/npc/obj/fshoe.c
寻『风云差服』〖风云差服〗【cloth】val=10S, @/d/jinan/npc/obj/yafu.c
寻『风云马褂』〖风云马褂〗【cloth】val=10S, @/d/fy/npc/obj/fycloth.c
寻『风云赞歌』〖风云赞歌〗【poem song】val<1S, @/d/fy/npc/obj/poem.c
寻『风云战甲』〖风云战甲〗【zhanjia】val=80S, @/d/fy/npc/obj/kiujia.c
寻『风字服』〖$HIW$风字服$NOR$〗【cloth】val=10S, @/d/taoguan/npc/obj/f_cloth.c
寻『风筝』〖风筝〗【kite】val=20S, @/d/qingping/obj/kite.c
寻『凤头斧』〖凤头斧〗【axe】val=80S, @/d/loulan/obj/axe.c
寻『佛光斧头』〖佛光斧头〗【lightaxe】val=60S, @/d/shaolin/npc/obj/axe.c
寻『佛光木枪』〖佛光木枪〗【lightspear】val=60S, @/d/shaolin/npc/obj/spear.c
寻『佛光禅杖』〖佛光禅杖〗【lightstaff】val=60S, @/d/shaolin/npc/obj/staff.c
寻『符咒简介』〖符咒简介〗【spellsbook】val=3S, @/d/fy/npc/obj/spells_book.c
寻『符咒入门』〖符咒入门〗【spellsbook】val=3S, @/d/fy/npc/obj/book6.c
寻『浮雪玉梅』〖浮雪玉梅〗【1 plum tree】val<1S, @/d/yinghe/obj/tree1.c
寻『斧』〖斧〗【axe】val<1S, @/d/tieflag/obj/cmaxe.c
寻『斧头』〖$HIR$斧头$NOR$〗【woodaxe】val=10S, @/d/huashan/npc/obj/woodaxe.c
寻『脯雪黄鱼』〖脯雪黄鱼〗【pxhy】val=20S, @/d/fy/npc/obj/pxhy.c
寻『干木柴』〖干木柴〗【1 woods】val<1S, @/d/wanmei/obj/drywoods.c
寻『干牛肉』〖干牛肉〗【 dry meat】val<1S, @/d/zangbei/npc/obj/drymeat.c
寻『钢指套』〖钢指套〗【steelfist】val<1S, @/d/cave2/npc/obj/ironfist.c
寻『高丽香蕉』〖高丽香蕉〗【glxj】val=20S, @/d/fy/npc/obj/glxj.c
寻『高粱酒』〖高粱酒〗【gaoliang skin】val=2G, @/d/bawang/npc/obj/gaoliang.c
寻『高粱酒袋』〖高粱酒袋〗【gaoskin】val=10S, @/d/loulan/obj/gaoskin.c
寻『高帽子』〖高帽子〗【long hat】val<1S, @/d/qianjin/npc/obj/high_hat.c
寻『高手入门』〖高手入门〗【book】val=3S, @/d/eren2/obj/yawnbook.c
寻『割鹿刀』〖$HIR$割鹿刀$NOR$〗【gelu】val=5G, @/d/wolfmount/npc/obj/gelu.c
寻『割皮小刀』〖割皮小刀〗【skin dagger】val=3S, @/d/wolfmount/npc/obj/skinblade.c
寻『给蓝一尘的信』〖给蓝一尘的信〗【letter】val<1S, @/d/libie/npc/obj/letter.c
寻『给七个半的信』〖给七个半的信〗【letter】val<1S, @/d/shanliu/npc/obj/letter.c
寻『供香』〖供香〗【1 incense】val<1S, @/d/zangbei/obj/incense.c
寻『供香』〖供香〗【gong xiang】val<1S, @/d/wudang/npc/obj/gongxiang.c
寻『公差服』〖公差服〗【yayi cloth】val<1S, @/d/taiping/npc/obj/yayicloth.c
寻『钩连枪』〖钩连枪〗【spear】val=1G, @/d/baiyun/npc/obj/by_spear.c
寻『狗皮膏药』〖狗皮膏药〗【gaoyao】val<1S, @/d/fy/npc/obj/dogmed.c
寻『古城烧』〖古城烧〗【old skin】val=50S, @/d/guanwai/npc/obj/guskin.c
寻『古木琴』〖古木琴〗【muqin】val<1S, @/d/huangshan/npc/obj/qin.c
寻『古松琴』〖古松琴〗【qin】val=5S, @/d/qianfo/npc/obj/qin.c
寻『古形剑』〖古形剑〗【sword】val=20S, @/d/ghost/npc/obj/sword.c
寻『古玉牌』〖古玉牌〗【guyupai】val=10G, @/d/qianjin/obj/guyupai.c
寻『谷子』〖谷子〗【1 guzi】val<1S, @/d/chenxiang/npc/obj/gu.c
寻『顾云飞的秘函』〖顾云飞的秘函〗【letter】val<1S, @/d/ghost/npc/obj/letter.c
寻『官服』〖$RED$官服$NOR$〗【clothes】val<1S, @/d/taiping/npc/obj/o_cloth.c
寻『广袖合欢袄』〖$BLU$广袖合欢袄$NOR$〗【blueskirt】val=2G, @/d/fugui/npc/obj/w_skirt4.c
寻『鬼头大刀』〖鬼头大刀〗【blade】val=10S, @/d/biancheng/npc/obj/gblade.c
寻『鬼头刀』〖鬼头刀〗【glaive】val=15S, @/d/oldpine/npc/obj/glaive.c
寻『鬼头断门刀』〖$BLK$鬼头断门刀$NOR$〗【duanmen blade】val=1G, @/d/cave/npc/obj/duanblade.c
寻『鬼头剑』〖鬼头剑〗【sword】val<1S, @/d/biancheng/npc/obj/gsword.c
寻『鬼牙玄冥杖』〖$HIC$鬼牙玄冥杖$NOR$〗【ghoststaff】val=80S, @/d/palace/obj/guistaff.c
寻『桂花』〖桂花〗【guihua】val=1S, @/d/yinghe/obj/guihua.c
寻『桂圆』〖桂圆〗【guiyuan】val=1S, @/d/yinghe/obj/guiyuan.c
寻『果汁鱼球』〖果汁鱼球〗【gzyq】val=20S, @/d/fy/npc/obj/gzyq.c
寻『裹布木棍』〖$YEL$裹布木棍$NOR$〗【staffs】val=20S,华少坤带 @/d/songshan/npc/obj/gunsword.c
寻『过招要旨』〖过招要旨〗【parrybook】val<1S, @/d/chuenyu/npc/obj/parrybook.c
寻『哈达』〖$HIW$哈达$NOR$〗【hada】val=70S, @/d/guanwai/npc/obj/hada.c
寻『哈密瓜』〖哈密瓜〗【1 hami gua】val<1S, @/d/xinjiang/npc/obj/gua.c
寻『海螺』〖$YEL$海螺$NOR$〗【littlething】val<1S,名字随机 @/d/baiyun/obj/littlething.c
寻『海星』〖$BLU$海星$NOR$〗【littlething】val<1S,名字随机 @/d/baiyun/obj/littlething.c
寻『含羞草』〖含羞草〗【touch-me-not】val<1S, @/d/taiping/npc/obj/grass.c
寻『寒梅心法』〖寒梅心法〗【book】val<1S, @/d/fycycle/obj/hanmeiforce.c
寻『寒水蛇蛇胆』〖$HIC$寒水蛇蛇胆$NOR$〗【hanshui shedan】val=5G, @/d/yinghe/npc/obj/shedan.c
寻『寒潭蛙』〖寒潭蛙〗【frog】val=1S, @/d/taoyuan/obj/frog.c
寻『寒天冰衣』〖寒天冰衣〗【cloth】val<1S, @/d/wanmei/npc/obj/cloth.c
寻『寒天吹血』〖$HIR$寒天吹血$NOR$〗【soulcrasher】val=40G, @/d/wanmei/npc/obj/xuejian.c
寻『寒玉短剑』〖寒玉短剑〗【jade sword】val<1S, @/d/fy/npc/obj/jade_sword.c
寻『旱烟枪』〖$HIW$旱烟枪$NOR$〗【hanyan】val=50S, @/d/wolfmount/npc/obj/hanyan.c
寻『合梦明珠』〖$WHT$合梦明珠$NOR$〗【pearl】val=1G, @/d/yinghe/obj/pearl.c
寻『黑鞭』〖$BLK$黑鞭$NOR$〗【black whip】val=1G, @/d/quicksand/npc/obj/sidai.c
寻『黑布袍』〖黑布袍〗【cloth】val<1S, @/d/resort/npc/obj/bcloth.c
寻『黑布僧鞋』〖黑布僧鞋〗【monk shoes】val<1S,名字随机,兴国 @/d/qianfo/npc/obj/shoe2.c
寻『黑布僧衣』〖黑布僧衣〗【monk cloth】val<1S,名字随机,兴国 @/d/qianfo/npc/obj/cloth.c
寻『黑瓷药瓮』〖黑瓷药瓮〗【medvase】val=1S, @/d/chenxiang/npc/obj/med.c
寻『黑豆』〖黑豆〗【bean】val<1S,名字随机 @/d/yinghe/obj/bean.c
寻『黑裤』〖黑裤〗【pant】val<1S, @/d/taiping/npc/obj/pant.c
寻『黑牡丹』〖$BLU$黑牡丹$NOR$〗【black flower】val<1S, @/d/fy/npc/obj/black_flower.c
寻『黑牡丹』〖黑牡丹〗【black flower】val<1S, @/d/chuenyu/npc/obj/black_flower.c
寻『黑袍』〖$BLK$黑袍$NOR$〗【black cloth】val=4G, @/d/quicksand/npc/obj/baojia.c
寻『黑披风』〖$BLK$黑披风$NOR$〗【black cloak】val=50S, @/d/guanwai/npc/obj/heipifeng.c
寻『黑棋子』〖黑棋子〗【1 go piece】val<1S, @/d/resort/npc/obj/bqi.c
寻『黑色长衫』〖黑色长衫〗【cloth】val<1S, @/d/shaolin/npc/obj/blackcloth.c
寻『黑色道袍』〖黑色道袍〗【cloth】val=10S, @/d/taoguan/npc/obj/tcloth.c
寻『黑色的丝质长裙』〖黑色的丝质长裙〗【black skirt】val=80S,帝王谷老老妇人(48M)穿 @/d/palace/npc/obj/b_skirt.c
寻『黑色的细针』〖黑色的细针〗【needle】val<1S,颜色色随机,兴国和尚身上 @/d/qianfo/npc/obj/needle.c
寻『黑色的绣花针』〖黑色的绣花针〗【flower needle】val=5S,颜色色随机,济南.金九龄带 @/d/jinan/npc/obj/xiuhuazhen.c
寻『黑色的圆饼』〖黑色的圆饼〗【black pie】val<1S, @/d/taiping/obj/blackpie.c
寻『黑色火药』〖黑色火药〗【powder】val=10S, @/d/tieflag/obj/powder.c
寻『黑色教服』〖黑色教服〗【cloth】val<1S, @/d/daimiao/npc/obj/blackrobe.c
寻『黑色紧身衣』〖黑色紧身衣〗【darkcloth】val=10S, @/d/eren/npc/obj/darkcloth.c
寻『黑色劲装』〖黑色劲装〗【cloth】val=10S, @/d/fy/npc/obj/jinzhuang.c
寻『黑色面巾』〖黑色面巾〗【blackmask】val<1S, @/d/shaolin/npc/obj/blackmask.c
寻『黑色庄服』〖黑色庄服〗【uniform】val<1S, @/d/qingping/npc/obj/cloth.c
寻『黑纱』〖$BLK$黑纱$NOR$〗【black ribbon】val=40S, @/d/quicksand/npc/obj/zhiai.c
寻『黑纱蝉衣』〖黑纱蝉衣〗【black silky cloth】val=40S,嵩山叶淑贞穿 @/d/songshan/npc/obj/blackcloth.c
寻『黑纱袍』〖黑纱袍〗【black robe】val=1S,新疆.黑庙.双手如鸡爪的老妇(exp=1M)穿 @/d/xinjiang/npc/obj/blackcloth.c
寻『黑纱衣』〖黑纱衣〗【black cloth】val=30S, @/d/shenshui/npc/obj/blackcloth.c
寻『黑衫』〖黑衫〗【black cloth】val<1S, @/d/biancheng/npc/obj/blackcloth.c
寻『黑头蟋蟀』〖黑头蟋蟀〗【cricket】val<1S, @/d/fugui/obj/cricket.c
寻『黑靴』〖$BLK$黑靴$NOR$〗【black boots】val=80S, @/d/quicksand/npc/obj/shenxue.c
寻『黑衣』〖$HIB$黑衣$NOR$〗【cloth】val=80S, @/d/cave2/npc/obj/blackcloth.c
寻『黑衣』〖黑衣〗【black cloth】val=40S, @/d/chenxiang/npc/obj/black_cloth.c
寻『黑衣』〖黑衣〗【cloth】val=1S, @/d/wolfmount/npc/obj/blkcloth.c
寻『黑玉发簪』〖黑玉发簪〗【pin】val=30S, @/d/qianjin/obj/pin.c
寻『黑郁金香』〖$BLK$黑郁金香$NOR$〗【flower】val=40S, @/d/baiyun/npc/obj/flower.c
寻『黑氆氇藏袍』〖$BLK$黑氆氇藏袍$NOR$〗【tibetan robe】val=4S, @/d/zangbei/npc/obj/dawacloth.c
寻『轰天雷』〖$WHT$轰天雷$NOR$〗【hong tianlei】val=10G, @/d/eren/npc/obj/zhui.c
寻『红茶花』〖红茶花〗【flower】val<1S,名字随机 @/d/wudang/obj/flower.c
寻『红绸剑器』〖$HIY$红绸剑器$NOR$〗【dagger】val=4S, @/d/shanliu/npc/obj/sworddagger.c
寻『红绸舞器』〖红绸舞器〗【wuqi】val<1S, @/d/qianjin/npc/obj/wuqi.c
寻『红带』〖$RED$红带$NOR$〗【red belt】大旗红衣少女穿 @
寻『红豆』〖红豆〗【bean】val<1S,名字随机 @/d/yinghe/obj/bean.c
寻『红巾』〖$RED$红巾$NOR$〗【red ribbon】大旗红衣少女穿 @
寻『红鲤鱼』〖红鲤鱼〗【fish】val=1S,名字随机,村外鱼塘里 @/d/eren/obj/fish.c
寻『红帽』〖$RED$红帽$NOR$〗【red hat】大旗红衣少女穿 @
寻『红枚瑰』〖$HIR$红枚瑰$NOR$〗【red flower】val<1S, @/d/fy/npc/obj/red_flower.c
寻『红枚瑰』〖红枚瑰〗【red flower】val<1S, @/d/chuenyu/npc/obj/red_flower.c
寻『红木大柜』〖红木大柜〗【mugui】val=2G, @/d/shaolin/obj/gui1.c
寻『红木剑』〖红木剑〗【sword】val=2G, @/d/taoguan/npc/obj/o_sword.c
寻『红泥小烤炉』〖红泥小烤炉〗【kaolu】val=1S, @/d/tieflag/obj/kaolu.c
寻『红袍』〖红袍〗【cloth】val<1S, @/d/huangshan/npc/obj/redcloth.c
寻『红裙子』〖红裙子〗【red skirt】val<1S, @/d/taiping/npc/obj/redskirt.c
寻『红色的细针』〖红色的细针〗【needle】val<1S,颜色色随机,兴国和尚身上 @/d/qianfo/npc/obj/needle.c
寻『红色的绣花针』〖红色的绣花针〗【flower needle】val=5S,颜色随机,济南.金九龄带 @/d/jinan/npc/obj/xiuhuazhen.c
寻『红色佛珠』〖$RED$红色佛珠$NOR$〗【red bead】val=70S, @/d/songshan/npc/obj/ring1.c
寻『红色蜡球』〖$RED$红色蜡球$NOR$〗【red ball】val<1S, @/d/taoyuan/npc/obj/redball.c
寻『红色蜡球』〖红色蜡球〗【red ball】val=2S, @/d/taoyuan/npc/obj/redball1.c
寻『红纱裙』〖红纱裙〗【red cloth】val<1S, @/d/taiping/npc/obj/redcloth.c
寻『红烧牛肉』〖红烧牛肉〗【fried beef】val=15S, @/d/bawang/npc/obj/hsnr.c
寻『红烧肉』〖红烧肉〗【meat】val=1S, @/d/eren/obj/meat.c
寻『红石』〖$HIR$红石$NOR$〗【1 red stone】val<1S, @/d/taiping/npc/obj/redstone.c
寻『红水晶』〖$HIR$红水晶$NOR$〗【crystal】val=5G,{红|蓝}随机 @/d/cave/npc/obj/stone_2.c
寻『红鞋』〖$RED$红鞋$NOR$〗【red boot】大旗红衣少女穿 @
寻『红信封』〖$RED$红信封$NOR$〗【envelope】val=10S,颜色随机,金狮镖局xx镖师身上 @/d/fy/npc/obj/hongbao.c
寻『红杏花给丁喜的信』〖红杏花给丁喜的信〗【xinghua note】val<1S, @/d/bawang/npc/obj/xinghua_note.c
寻『红腰带』〖$HIR$红腰带$NOR$〗【red girth】val=70S, @/d/chenxiang/npc/obj/redgirth.c
寻『红腰带』〖$HIR$红腰带$NOR$〗【red girth】val=70S,沉香 .赵一刀穿 @/d/chenxiang/npc/obj/redgirth.c
寻『红衣』〖$RED$红衣$NOR$〗【red cloth】大旗红衣少女穿 @
寻『红缨长枪』〖$HIR$红缨$NOR$长枪$NOR$〗【changqiang】val=40S, @/d/fy/npc/obj/spear.c
寻『红缨帽』〖$RED$红缨帽$NOR$〗【red hat】val<1S, @/d/taiping/npc/obj/redhat.c
寻『红油鸡片』〖红油鸡片〗【hyjp】val=10S, @/d/fy/npc/obj/hyjp.c
